date,original_close,train_predicted_close,test_predicted_close
2020-09-27,10780.66,,10584.57421875
2020-09-28,10689.48,,10666.8291015625
2020-09-29,10836.42,,10662.732421875
2020-09-30,10778.22,,10741.755859375
2020-10-01,10622.71,,10745.9228515625
2020-10-02,10578.54,,10653.7509765625
2020-10-03,10553.66,,10572.2197265625
2020-10-04,10669.63,,10509.529296875
2020-10-05,10795.0,,10540.7060546875
2020-10-06,10606.33,,10632.44140625
2020-10-07,10669.14,,10582.0234375
2020-10-08,10925.2,,10593.564453125
2020-10-09,11052.0,,10746.8642578125
2020-10-10,11301.2,,10902.64453125
2020-10-11,11372.93,,11132.1875
2020-10-12,11535.98,,11293.615234375
2020-10-13,11427.98,,11465.765625
2020-10-14,11428.84,,11478.4609375
2020-10-15,11511.11,,11464.6337890625
2020-10-16,11321.86,,11483.8583984375
2020-10-17,11365.8,,11366.185546875
2020-10-18,11519.97,,11318.1337890625
2020-10-19,11764.14,,11376.5078125
2020-10-20,11921.11,,11552.3955078125
2020-10-21,12802.67,,11742.6171875
2020-10-22,12983.26,,12379.2060546875
2020-10-23,12941.59,,12830.3974609375
2020-10-24,13122.73,,13029.7626953125
2020-10-25,13039.09,,13208.2412109375
2020-10-26,13066.73,,13196.568359375
2020-10-27,13647.9,,13157.005859375
2020-10-28,13274.73,,13460.73828125
2020-10-29,13468.44,,13354.3095703125
2020-10-30,13562.13,,13399.4765625
2020-10-31,13816.08,,13458.9765625
2020-11-01,13762.0,,13640.2578125
2020-11-02,13563.72,,13690.029296875
2020-11-03,14041.58,,13575.642578125
2020-11-04,14160.59,,13807.5966796875
2020-11-05,15605.04,,13996.7099609375
2020-11-06,15598.09,,15039.9443359375
2020-11-07,14838.97,,15575.4189453125
2020-11-08,15489.15,,15300.9892578125
2020-11-09,15332.04,,15516.998046875
2020-11-10,15313.65,,15444.896484375
2020-11-11,15707.89,,15341.2021484375
2020-11-12,16300.0,,15512.2314453125
2020-11-13,16335.58,,15990.9677734375
2020-11-14,16086.34,,16250.7626953125
2020-11-15,15975.49,,16183.2822265625
2020-11-16,16724.62,,16024.76953125
2020-11-17,17680.63,,16429.76171875
2020-11-18,17785.95,,17302.220703125
2020-11-19,17825.47,,17814.623046875
2020-11-20,18687.65,,18049.96875
2020-11-21,18725.0,,18704.447265625
2020-11-22,18435.2,,18970.65625
2020-11-23,18383.35,,18779.244140625
2020-11-24,19160.85,,18528.158203125
2020-11-25,18732.43,,18909.19140625
2020-11-26,17160.09,,18743.3359375
2020-11-27,17154.39,,17509.0078125
2020-11-28,17741.79,,16838.234375
2020-11-29,18192.03,,16963.560546875
2020-11-30,19700.19,,17467.9609375
2020-12-01,18771.43,,18950.314453125
2020-12-02,19226.55,,19051.619140625
2020-12-03,19448.4,,19383.08984375
2020-12-04,18673.76,,19623.634765625
2020-12-05,19162.16,,19056.6796875
2020-12-06,19380.58,,19038.009765625
2020-12-07,19173.5,,19159.490234375
2020-12-08,18316.43,,19064.9140625
2020-12-09,18556.64,,18360.361328125
2020-12-10,18250.3,,18158.626953125
2020-12-11,18040.02,,17866.544921875
2020-12-12,18815.63,,17645.15234375
2020-12-13,19162.36,,18168.54296875
2020-12-14,19274.33,,18761.455078125
2020-12-15,19434.87,,19177.1015625
2020-12-16,21365.7,,19480.61328125
2020-12-17,22814.24,,21072.705078125
2020-12-18,23136.14,,22975.263671875
2020-12-19,23842.99,,24077.033203125
2020-12-20,23470.85,,24947.822265625
2020-12-21,22732.01,,24823.853515625
2020-12-22,23835.1,,23894.857421875
2020-12-23,23247.71,,24052.7578125
2020-12-24,23726.28,,23594.74609375
2020-12-25,24705.15,,23688.19921875
2020-12-26,26466.28,,24493.794921875
2020-12-27,26259.6,,26383.23828125
2020-12-28,27037.91,,27157.701171875
2020-12-29,27370.0,,28056.44921875
2020-12-30,28881.3,,28605.15234375
2020-12-31,28992.79,,
